,Borough,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
135,South West Delhi,Dhaula Kuan,0.0,Campground,Golf Course,Light Rail Station,Bakery,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop
136,South West Delhi,Ghitorni,0.0,Indian Restaurant,Lake,Hotel,Sandwich Place,Pizza Place,Light Rail Station,Sporting Goods Shop,Food Truck,Food Court,Food & Drink Shop
137,South West Delhi,Inderpuri,0.0,Gym,Convenience Store,Juice Bar,Stables,Women's Store,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
139,South West Delhi,Kishangarh Village,0.0,Indian Restaurant,Nightclub,Arcade,Flea Market,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
140,South West Delhi,Mahipalpur,0.0,Indian Restaurant,Hotel,Bed & Breakfast,Road,Shoe Store,Accessories Store,Donut Shop,Eastern European Restaurant,Fried Chicken Joint,French Restaurant
141,South West Delhi,Moti Bagh,0.0,ATM,Flea Market,Beer Bar,Light Rail Station,Shopping Mall,Electronics Store,Donut Shop,Frozen Yogurt Shop,Diner,Fried Chicken Joint
142,South West Delhi,Munirka,0.0,Indian Restaurant,Grocery Store,Department Store,Furniture / Home Store,Flea Market,Spa,Bank,Bakery,Sandwich Place,Steakhouse
144,South West Delhi,Naraina,0.0,Ice Cream Shop,Snack Place,IT Services,Hotel Bar,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
145,South West Delhi,Palam,0.0,Indian Restaurant,Bar,Flower Shop,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
146,South West Delhi,Rama Krishna Puram,0.0,Multiplex,Café,Coffee Shop,Shopping Mall,Thai Restaurant,Restaurant,South Indian Restaurant,Asian Restaurant,Pizza Place,Comfort Food Restaurant
148,South West Delhi,Rangpuri,0.0,Indian Restaurant,Hotel,American Restaurant,Spa,Thai Restaurant,Fast Food Restaurant,French Restaurant,Food Truck,Food Court,Food & Drink Shop
151,South West Delhi,Vasant Kunj,0.0,Vegetarian / Vegan Restaurant,Pizza Place,Bakery,Café,Women's Store,Flea Market,French Restaurant,Food Truck,Food Court,Food & Drink Shop
152,South West Delhi,Vasant Vihar,0.0,Fast Food Restaurant,Coffee Shop,Café,Chinese Restaurant,Tea Room,Restaurant,Pub,Market,Pizza Place,Gourmet Shop
154,West Delhi,Bali Nagar,0.0,Light Rail Station,Indian Restaurant,Shoe Store,Metro Station,Dessert Shop,Pizza Place,Ice Cream Shop,Art Gallery,Food,Furniture / Home Store
155,West Delhi,Fateh Nagar,0.0,Indian Restaurant,Fried Chicken Joint,Pizza Place,Food Court,Ice Cream Shop,Indian Sweet Shop,Hot Dog Joint,Farmers Market,Hotel Bar,Food & Drink Shop
156,West Delhi,Janakpuri,0.0,Gym / Fitness Center,Park,Café,Bakery,Flea Market,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
158,West Delhi,Meera Bagh,0.0,ATM,Convenience Store,Spa,Bakery,Café,Furniture / Home Store,Food,Fried Chicken Joint,French Restaurant,Food Truck
159,West Delhi,Moti Nagar,0.0,Department Store,Clothing Store,Fried Chicken Joint,Sports Bar,Café,Shopping Mall,Asian Restaurant,Fast Food Restaurant,Donut Shop,Farm
160,West Delhi,Nehru Nagar,0.0,Pizza Place,Indian Restaurant,Hotel,Donut Shop,Coffee Shop,Bus Station,Gym / Fitness Center,Restaurant,Plaza,Flea Market
162,West Delhi,Paschim Vihar,0.0,ATM,Coffee Shop,Jewelry Store,Garden,BBQ Joint,Flower Shop,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Food Truck
163,West Delhi,Patel Nagar,0.0,Café,Women's Store,Furniture / Home Store,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food,Flower Shop
165,West Delhi,Rajouri Garden,0.0,Indian Restaurant,Café,Diner,Park,Snack Place,Electronics Store,Market,Fast Food Restaurant,Gym,Bakery
167,West Delhi,Tihar Village,0.0,Indian Restaurant,Sculpture Garden,Sandwich Place,Bakery,Frozen Yogurt Shop,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
169,West Delhi,Uttam Nagar,0.0,ATM,Pizza Place,Spa,Accessories Store,Bakery,Indian Restaurant,Train Station,Toy / Game Store,Farmers Market,Food Truck
171,West Delhi,Vikaspuri,0.0,Indian Restaurant,Pizza Place,Flea Market,Multiplex,Donut Shop,Dhaba,French Restaurant,Food Truck,Food Court,Food & Drink Shop
